Proxy,R2 (calibration) - Set1,R2 (validation) - Set1,Reduction of Error - Set1,Coefficient of Efficiency - Set1,Durbin-Watson - Set1,R2 (calibration) - Set2,R2 (validation) - Set2,Reduction of Error - Set2,Coefficient of Efficiency - Set2,Durbin-Watson - Set2,R2 (calibration) - full,R2 (validation) - full,Reduction of Error - full,Coefficient of Efficiency - full,Durbin-Watson - full,Score
bw20,0.6028779309923158,0.3132815417801696,0.1499173451587763,0.14915792099253145,1.834622787809659,0.3132815417801716,0.6028779309923158,0.2914905151816799,0.29106963669374686,1.8337874873177065,0.4756555015872414,0.4756555015872414,0.3793556402227859,0.3793556402227859,1.897391847291883,3.555580892030258
pq20,0.5728163617003084,0.3494119459461827,-0.03193512314386826,-0.03285700581733453,1.8350423397085862,0.3494119459461802,0.5728163617003124,0.35704849875125766,0.35666656391275764,1.832603640892576,0.45836352173502615,0.45836352173502615,0.35405098216384534,0.35405098216384534,1.961724223080311,3.3769489641564854
rcsbw40,0.5749351210211756,0.24139528869272373,0.13948195647371642,0.13871320981829183,1.8448532858535995,0.24139528869272672,0.574935121021176,0.32359487705703893,0.32319306964094285,1.8468193622339204,0.43756963330851,0.43756963330851,0.3229809174811339,0.3229809174811339,1.8455366227117023,3.1531635755955243
rcspbw40,0.57246612272696,0.2448735825323179,0.15258606121779372,0.15182902115791375,1.842655457352639,0.24487358253232036,0.5724661227269586,0.3064502665461958,0.30603827465423505,1.8489547268626332,0.43833732727712416,0.43833732727712416,0.3241409607417681,0.3241409607417681,1.8430107927204402,3.145781564003905
bw40,0.5745823911592369,0.23473348827660567,0.11576401094736488,0.11497407578644181,1.8373447445059174,0.23473348827661014,0.5745823911592431,0.32562164006335104,0.3252210366127174,1.837314215814301,0.43318691693216366,0.43318691693216366,0.316338726315592,0.316338726315592,1.8427534319352576,3.0340885932880344
pbw40,0.5676260437837366,0.22881285136912266,0.07052584881800072,0.06969549999452151,1.8323695834009432,0.22881285136912458,0.5676260437837346,0.4004098657951064,0.4000536890685119,1.8270679546350521,0.42375889099368125,0.42375889099368125,0.30193530499859134,0.30193530499859134,1.8331694686017503,2.9701650992418958
rcspq40,0.6076671727997003,0.3009493922004477,0.03710753066944816,0.036247327480334324,1.7980969081194336,0.30094939220045047,0.6076671727997022,0.17068518147522194,0.17019254055181832,1.7883865791028155,0.4630701533437765,0.4630701533437765,0.3609851538019023,0.3609851538019023,1.9175135265044025,2.887570351921784
rcsq40,0.60756745970663,0.3009683517848883,0.024702839741168048,0.02383155478016752,1.7929144525347935,0.3009683517848882,0.6075674597066294,0.18038362111581008,0.1798967413920779,1.7824682339725766,0.4621096863342639,0.4621096863342639,0.35957299208367677,0.35957299208367677,1.9158322648685062,2.851681639599893
pq40,0.5814786936901889,0.3103149431077475,-0.07491689936961943,-0.07587717995579224,1.7714454100398038,0.3103149431077503,0.5814786936901871,0.28856212375444923,0.28813950570341595,1.7562896089133755,0.4455022600393825,0.4455022600393825,0.33491910434931427,0.33491910434931427,1.9037447855278193,2.633297161467718
bw80,0.5641937731798555,0.18777598657903238,0.025817295496516013,0.024947006138270167,1.8410852154736337,0.18777598657903527,0.564193773179858,0.3673062287988871,0.3669303873973905,1.8205538963762593,0.4035616658458302,0.4035616658458302,0.2705300615576165,0.2705300615576165,1.830949379905194,2.6223008756659123
q40,0.6077960524793681,0.3019962496095086,0.02188618125046582,0.021012380018237242,1.7682157606430926,0.3019962496095068,0.6077960524793674,0.13222216577858492,0.13170667652889256,1.7530296678016688,0.4616085684317801,0.4616085684317801,0.35883562257506674,0.35883562257506674,1.8959801806687944,2.6017516079947365
rcsbw80,0.5622477158245575,0.18662973043398567,0.024941820034760753,0.024070748567600164,1.8398986071208887,0.1866297304339844,0.5622477158245581,0.36038757631800244,0.3600076250039964,1.8174769017020251,0.4019811716410857,0.4019811716410857,0.2680396919916199,0.2680396919916199,1.8293992237760948,2.580753854904874
rcspbw100,0.5480500215643661,0.15591496599319765,-0.021557111485737135,-0.022469722927981328,1.8945655035548592,0.15591496599319915,0.5480500215643668,0.3147772626709219,0.3143702172950109,1.8745597606682125,0.3793406908035029,0.3793406908035029,0.23181278473027067,0.23181278473027067,1.8846795047293101,2.522967109639655
bw100,0.5525499079671613,0.16745378209469153,-0.02581202479479683,-0.026728437377993464,1.8688044054729358,0.16745378209469225,0.552549907967164,0.36512832119882044,0.36475118604688406,1.8376424704316396,0.3854992058465496,0.3854992058465496,0.2417716363828123,0.2417716363828123,1.8556668539801713,2.4961155694248403
rcspbw80,0.5589351777181454,0.16881203796621633,0.019584869995134424,0.018709012878843967,1.854977793490589,0.16881203796621805,0.5589351777181413,0.3032207563950384,0.3028068460653175,1.8373894659280714,0.39349959656752787,0.39349959656752787,0.25459091339815865,0.25459091339815865,1.844723204853006,2.4701778651777615
rcsbw100,0.5507448843842179,0.16668263140546,-0.024487240897066886,-0.0254024699801636,1.865728605182843,0.16668263140546014,0.5507448843842196,0.3576884380763409,0.35730688338334526,1.8334597440246634,0.3843479474982741,0.3843479474982741,0.23991603082931634,0.23991603082931634,1.8522245068467145,2.4513143109254365
pbw80,0.5648239830725547,0.1822744688258819,0.010639180039162865,0.009755331261005584,1.7939636406986084,0.18227446882588547,0.5648239830725521,0.3752914991410006,0.37492040125893356,1.7629360416425042,0.4006204617394137,0.4006204617394137,0.26589170975576504,0.26589170975576504,1.779936971789432,2.2715009667484236
pbw100,0.5451142937725387,0.1756225895132194,-0.036208429707338174,-0.03713412995343157,1.815702403581248,0.17562258951322465,0.5451142937725387,0.3873594447307731,0.3869955156146876,1.7841490630344168,0.38360740458866216,0.38360740458866216,0.23872094995345305,0.23872094995345305,1.8027253545790753,2.192296518729923
