D'Arrigo et al. 2006 STD and RCS reconstructions of Northern Hemisphere,,,
"annual temperatures, plus Northern Hemisphere land-only extratropical (20-90N)",,,
"instrumental temperature data, expressed as anomalies in degrees Celsius ",,,
from the 1961-1990AD mean.,,,
,,,
,,,
Year AD,NH Land20-90,STD recon,RCS recon
1316,,-0.37,-0.68
1317,,-0.45,-0.72
1318,,-0.29,-0.66
1319,,-0.28,-0.64
1320,,-0.29,-0.62
1321,,-0.33,-0.66
1322,,-0.34,-0.57
1323,,-0.35,-0.61
1324,,-0.29,-0.53
1325,,-0.2,-0.51
1326,,-0.3,-0.57
1327,,-0.26,-0.58
1328,,-0.38,-0.61
1329,,-0.42,-0.67
1330,,-0.67,-0.9
1331,,-0.33,-0.62
1332,,-0.43,-0.73
1333,,-0.5,-0.87
1334,,-0.4,-0.7
1335,,-0.55,-0.87
1336,,-0.58,-0.89
1337,,-0.5,-0.78
1338,,-0.6,-0.89
1339,,-0.48,-0.82
1340,,-0.61,-0.86
1341,,-0.37,-0.7
1342,,-0.6,-0.86
1343,,-0.52,-0.72
1344,,-0.63,-0.78
1345,,-0.69,-0.92
1346,,-0.73,-0.95
1347,,-0.8,-1.03
1348,,-0.82,-1.01
1349,,-0.7,-0.88
1350,,-0.79,-1.03
1351,,-0.5,-0.81
1352,,-0.49,-0.68
1353,,-0.71,-0.81
1354,,-0.46,-0.67
1355,,-0.47,-0.61
1356,,-0.29,-0.51
1357,,-0.46,-0.56
1358,,-0.64,-0.8
1359,,-0.64,-0.76
1360,,-0.5,-0.7
1361,,-0.57,-0.69
1362,,-0.39,-0.57
1363,,-0.48,-0.73
1364,,-0.48,-0.7
1365,,-0.52,-0.7
1366,,-0.28,-0.55
1367,,-0.2,-0.55
1368,,-0.53,-0.74
1369,,-0.39,-0.58
1370,,-0.58,-0.76
1371,,-0.5,-0.73
1372,,-0.52,-0.77
1373,,-0.38,-0.67
1374,,-0.32,-0.66
1375,,-0.44,-0.73
1376,,-0.33,-0.57
1377,,-0.5,-0.69
1378,,-0.42,-0.72
1379,,-0.31,-0.61
1380,,-0.47,-0.7
1381,,-0.37,-0.66
1382,,-0.27,-0.54
1383,,-0.34,-0.65
1384,,-0.3,-0.56
1385,,-0.4,-0.59
1386,,-0.14,-0.42
1387,,-0.32,-0.63
1388,,-0.26,-0.55
1389,,-0.47,-0.7
1390,,-0.27,-0.5
1391,,-0.15,-0.46
1392,,-0.53,-0.76
1393,,-0.49,-0.69
1394,,-0.28,-0.48
1395,,-0.24,-0.41
1396,,-0.24,-0.42
