"YEAR" "FAD_09A" "FAD_15A" "FAD_23A" "FBD_13B" "FBD_18A" "FDD_08A" "FDD_09A" "FDD_11A" "FDD_12A" "FDD_14A" "FDD_17B" "FDD_21B" "FDD_22B" "FDD_24A" "FDD_25A" "FDD_29A" "FDD_35A" "MAC_01A" "MAC_02A" "MAC_03B" "MAC_06B" "MAC_07B" "MAC_10A" "MAC_15C" "MAC_18B" "MAC_19B" "MAC_24A" "MCRA_03B" "MCRA_10B" "MCRA_14B" "MCRB_03A" "MCRB_07B" "MCRB_08B" "MCRE_10B" "MCRE_12A" "MCRE_21A" "MCRE_22A" "MCRE_25B" "MCRE_26B" "MCRE_27A" "MCRE_32A" "MCRE_36A" "MCRE_44A" "MCSF_04B" "MCSF_10A" "MCSF_11A" "MCSF_20A" "MCSF_23A" "MCSF_31A" "MCSF_38A" "MCSF_44A" "MCSF_46B" "MCSF_47A" "MCSF_50B" "MCSF_51A" "MCSF_53B" "MCSF_57A" "SFC_02A"
1126 NA NA NA NA NA 45 NA NA 22 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 35 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1127 NA NA NA NA NA 28 NA NA 24 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 29 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1128 NA NA NA NA NA 36 NA NA 25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 26 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1129 NA NA NA NA NA 36 NA NA 19 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 28 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1130 NA NA NA NA NA 13 NA NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 29 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1131 NA NA NA NA NA 34 NA NA 36 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 52 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1132 NA NA NA NA NA 32 NA NA 16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 28 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1133 NA NA NA NA NA 45 NA NA 45 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1134 NA NA NA NA NA 28 NA NA 29 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 20 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1135 NA NA NA NA NA 17 NA NA 16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1136 NA NA NA NA NA 39 NA NA 38 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 19 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1137 NA NA NA NA NA 19 NA NA 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 21 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1138 NA NA NA NA NA 42 NA NA 23 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 18 NA NA NA NA NA NA NA NA NA 76 NA NA NA NA NA NA NA NA NA NA NA
1139 NA NA NA NA NA 28 NA NA 18 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 21 NA NA NA NA NA NA NA NA NA 68 NA NA NA NA NA NA NA NA NA NA NA
1140 NA NA NA NA NA 34 NA NA 18 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 18 NA NA NA NA NA NA NA NA NA 69 NA NA NA NA NA NA NA NA NA NA NA
1141 NA NA NA NA NA 39 NA NA 21 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 27 NA NA NA NA NA NA NA NA NA 60 NA NA NA NA NA NA NA NA NA NA NA
1142 NA NA NA NA NA 32 NA NA 21 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 27 NA NA NA NA NA NA NA NA NA 36 NA NA NA NA NA NA NA NA NA NA NA
1143 NA NA NA NA NA 27 NA NA 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 31 NA NA NA NA NA NA NA NA NA 33 NA NA NA NA NA NA NA NA NA NA NA
1144 NA NA NA NA NA 35 NA NA 25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 27 NA NA NA NA NA NA NA NA NA 55 NA NA NA NA NA NA NA NA NA NA NA
1145 NA NA NA NA NA 18 NA NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 31 NA NA NA NA NA NA NA NA NA 77 NA NA NA NA NA NA NA NA NA NA NA
1146 NA NA NA NA NA 18 NA NA 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 18 NA NA NA NA NA NA NA NA NA 31 NA NA NA NA NA NA NA NA NA NA NA
1147 NA NA NA NA NA 27 NA NA 17 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 29 NA NA NA NA NA NA NA NA NA 125 NA NA NA NA NA NA NA NA NA NA NA
1148 NA NA NA NA NA 24 NA NA 23 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 23 NA NA NA NA NA NA NA NA NA 36 NA NA NA NA NA NA NA NA NA NA NA
1149 NA NA NA NA NA 33 NA NA 16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 31 NA NA 78 NA NA NA NA NA NA 43 NA NA NA NA NA NA NA NA NA NA NA
1150 NA NA NA NA NA 39 NA NA 22 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 21 NA NA 83 NA NA NA NA NA NA 57 NA NA NA NA NA NA NA NA NA NA NA
1151 NA NA NA NA NA 45 NA NA 26 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 26 NA NA 140 NA NA NA NA NA NA 101 NA NA NA NA NA NA NA NA NA NA NA
1152 NA NA NA NA NA 21 NA NA 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 24 NA NA 69 NA NA NA NA NA NA 19 NA NA NA NA NA NA NA NA NA NA NA
1153 NA NA NA NA NA 38 NA NA 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 23 NA NA 105 NA NA NA NA NA NA 76 NA NA NA NA NA NA NA NA NA NA NA
1154 NA NA NA NA NA 26 NA NA 19 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 23 NA NA 43 NA NA NA NA NA NA 15 NA NA NA NA NA NA NA NA NA NA NA
1155 NA NA NA NA NA 43 NA NA 34 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 30 NA NA 47 NA NA NA NA NA NA 42 NA NA NA NA NA NA NA NA NA NA NA
1156 NA NA NA NA NA 37 NA NA 30 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 26 NA NA 45 NA NA NA NA NA NA 42 NA NA NA NA NA NA NA NA NA NA NA
1157 NA NA NA NA NA 58 NA NA 26 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 27 NA NA 42 NA NA NA NA NA NA 37 NA NA NA NA NA NA NA NA NA NA NA
1158 NA NA NA NA NA 21 NA NA 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 23 NA NA 20 NA NA NA NA NA NA 33 NA NA NA NA NA NA NA NA NA NA NA
1159 NA NA NA NA NA 60 NA NA 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 18 NA NA 52 NA NA NA NA NA NA 66 NA NA NA NA NA NA NA NA NA NA NA
1160 NA NA NA NA NA 35 NA NA 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 28 NA NA 46 NA NA NA NA NA NA 43 NA NA NA NA NA NA NA NA NA NA NA
1161 NA NA NA NA NA 38 NA NA 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 25 NA NA 47 NA NA NA NA NA NA 97 NA NA NA NA NA NA NA NA NA NA NA
1162 NA NA NA NA NA 33 NA NA 43 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 33 NA NA 41 NA NA NA NA NA NA 67 NA NA NA NA NA NA NA NA NA NA NA
1163 NA NA NA NA NA 20 NA NA 16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 19 NA NA 44 NA NA NA NA NA NA 40 NA NA NA NA NA NA NA NA NA NA NA
1164 NA NA NA NA NA 26 NA NA 25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 14 NA NA 79 NA NA NA NA NA NA 62 NA NA NA NA NA NA NA NA NA NA NA
